React (https://github.com/facebook/react/issues),,,,,,,
#16603,Settings on Javascript error notification opens after clicking twice,https://github.com/phpmyadmin/phpmyadmin/issues/16603,"bug, good first issue",x,x,x,x
#16528,Table Row Heading Overrides Table field when the size of window is half in chrome browser,https://github.com/phpmyadmin/phpmyadmin/issues/16528,"bug, good first issue, has-pr, help wanted, ui",x,x,x,x
#16463,"""REFERENCES"" priviledge is used by MySQL - wrong message",https://github.com/phpmyadmin/phpmyadmin/issues/16463,"bug, good first issue, help wanted, ui",x,x,x,x
#16437,Header row covers first two rows of table in iOS 14.1 and iPadOS 14.1,https://github.com/phpmyadmin/phpmyadmin/issues/16437,"bug, good first issue, has-pr, help wanted",x,x,x,x
#16404,password generation not working after failing to create new user,https://github.com/phpmyadmin/phpmyadmin/issues/16404,"bug, good first issue, has-pr, help wanted, question",x,x,x,x
#16377,Uncaught ReferenceError: Stickyfill is not defined,https://github.com/phpmyadmin/phpmyadmin/issues/16377,"bug, good first issue, help wanted",x,x,x,x
#16677,UX issues in the Classic Theme,https://github.com/phpmyadmin/phpmyadmin/issues/16677,"bug, good first issue, help wanted, ui",x,x,,x
#16605,Vertical alignment seems off,https://github.com/phpmyadmin/phpmyadmin/issues/16605,"bug, good first issue, has-pr, newbie, ui",x,x,,
#16278,Remove underscore prefix from property names,https://github.com/phpmyadmin/phpmyadmin/issues/16278,"good first issue, hacktoberfest, help wanted, newbie, refactoring",x,x,,x
#6337,Metro - Navi tree icons,https://github.com/phpmyadmin/phpmyadmin/issues/6337,"enhancement, good first issue, hacktoberfest, newbie",x,x,,x
#13326,No quotes when field type is int,https://github.com/phpmyadmin/phpmyadmin/issues/13326,"bug, good first issue, has-pr, ui",x,x,x,
